Date,Home,Away,Predicted_Winner,Confidence,Type,Result,Real_Winner,User_Prediction,User_Result
2025-12-13,ORL Magic,NYK Knicks,NYK Knicks,58.0%,Auto,GAGNE,NYK Knicks,,
2025-12-13,OKC Thunder,SAS Spurs,OKC Thunder,72.2%,Auto,PERDU,SAS Spurs,,
2025-12-14,IND Pacers,WAS Wizards,IND Pacers,75.1%,Auto,PERDU,WAS Wizards,,
2025-12-14,CLE Cavaliers,CHA Hornets,CLE Cavaliers,69.0%,Auto,PERDU,CHA Hornets,,
2025-12-14,ATL Hawks,PHI 76ers,ATL Hawks,57.4%,Auto,GAGNE,ATL Hawks,,
2025-12-14,BKN Nets,MIL Bucks,BKN Nets,53.7%,Auto,GAGNE,BKN Nets,,
2025-12-14,MIN Timberwolves,SAC Kings,MIN Timberwolves,74.6%,Auto,GAGNE,MIN Timberwolves,,
2025-12-14,CHI Bulls,NOP Pelicans,NOP Pelicans,61.1%,Auto,GAGNE,NOP Pelicans,,
2025-12-14,PHX Suns,LAL Lakers,PHX Suns,56.3%,Auto,PERDU,LAL Lakers,,
2025-12-14,POR Trail Blazers,GSW Warriors,GSW Warriors,50.2%,Auto,PERDU,POR Trail Blazers,,
2025-12-15,BOS Celtics,DET Pistons,BOS Celtics,83.4%,Auto,PERDU,DET Pistons,,
2025-12-15,MIA Heat,TOR Raptors,MIA Heat,68.2%,Auto,PERDU,TOR Raptors,,
2025-12-15,UTA Jazz,DAL Mavericks,UTA Jazz,52.8%,Auto,GAGNE,UTA Jazz,,
2025-12-15,DEN Nuggets,HOU Rockets,DEN Nuggets,69.6%,Auto,GAGNE,DEN Nuggets,,
2025-12-15,LAC Clippers,MEM Grizzlies,MEM Grizzlies,51.3%,Auto,PERDU,LAC Clippers,,
2025-12-16,NYK Knicks,SAS Spurs,SAS Spurs,52.0%,Manual,PERDU, New York Knicks,,
2025-12-17,Chicago Bulls,Cleveland Cavaliers,Chicago Bulls,59.3%,Auto,GAGNE,Chicago Bulls,,
2025-12-17,Minnesota Timberwolves,Memphis Grizzlies,Minnesota Timberwolves,64.2%,Auto,PERDU,Memphis Grizzlies,,
2025-12-18,Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,55.8%,Auto,GAGNE,Charlotte Hornets,Atlanta Hawks,PERDU
2025-12-18,Indiana Pacers,New York Knicks,New York Knicks,59.8%,Auto,GAGNE,New York Knicks,New York Knicks,GAGNE
2025-12-18,Brooklyn Nets,Miami Heat,Brooklyn Nets,61.9%,Auto,PERDU,Miami Heat,Miami Heat,GAGNE
2025-12-18,Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,66.7%,Auto,PERDU,Toronto Raptors,Toronto Raptors,GAGNE
2025-12-18,New Orleans Pelicans,Houston Rockets,New Orleans Pelicans,79.8%,Auto,GAGNE,New Orleans Pelicans,Houston Rockets,PERDU
2025-12-18,Dallas Mavericks,Detroit Pistons,Dallas Mavericks,62.6%,Auto,GAGNE,Dallas Mavericks,Detroit Pistons,PERDU
2025-12-18,Denver Nuggets,Orlando Magic,Denver Nuggets,71.3%,Auto,GAGNE,Denver Nuggets,Denver Nuggets,GAGNE
2025-12-18,Phoenix Suns,Golden State Warriors,Phoenix Suns,52.1%,Auto,GAGNE,Phoenix Suns,Phoenix Suns,GAGNE
2025-12-18,Utah Jazz,Los Angeles Lakers,Utah Jazz,52.8%,Auto,PERDU,Los Angeles Lakers,Los Angeles Lakers,GAGNE
2025-12-18,Portland Trail Blazers,Sacramento Kings,Portland Trail Blazers,59.6%,Auto,PERDU,Sacramento Kings,Sacramento Kings,GAGNE
2025-12-19,Boston Celtics,Miami Heat,Boston Celtics,59.3%,Auto,GAGNE,Boston Celtics,Miami Heat,PERDU
2025-12-19,New York Knicks,Philadelphia 76ers,New York Knicks,53.9%,Auto,PERDU,Philadelphia 76ers,New York Knicks,PERDU
2025-12-19,Atlanta Hawks,San Antonio Spurs,San Antonio Spurs,65.5%,Auto,GAGNE,San Antonio Spurs,San Antonio Spurs,GAGNE
2025-12-19,Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,62.4%,Auto,PERDU,Chicago Bulls,Cleveland Cavaliers,PERDU
2025-12-19,Minnesota Timberwolves,Oklahoma City Thunder,Oklahoma City Thunder,50.4%,Auto,PERDU,Minnesota Timberwolves,Oklahoma City Thunder,PERDU
2025-12-20,Denver Nuggets,Houston Rockets,Denver Nuggets,89.5%,Auto,PERDU,Houston Rockets,Denver Nuggets,PERDU
2025-12-20,Philadelphia 76ers,Dallas Mavericks,Dallas Mavericks,56.0%,Auto,PERDU,Philadelphia 76ers,Philadelphia 76ers,GAGNE
2025-12-20,Toronto Raptors,Boston Celtics,Boston Celtics,74.1%,Auto,GAGNE,Boston Celtics,Toronto Raptors,PERDU
2025-12-20,New Orleans Pelicans,Indiana Pacers,New Orleans Pelicans,55.2%,Auto,GAGNE,New Orleans Pelicans,New Orleans Pelicans,GAGNE
2025-12-20,Detroit Pistons,Charlotte Hornets,Detroit Pistons,63.8%,Auto,GAGNE,Detroit Pistons,Detroit Pistons,GAGNE
2025-12-20,Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,75.6%,Auto,PERDU,Washington Wizards,Memphis Grizzlies,PERDU
2025-12-20,Golden State Warriors,Phoenix Suns,Golden State Warriors,61.9%,Auto,GAGNE,Golden State Warriors,Golden State Warriors,GAGNE
2025-12-20,Utah Jazz,Orlando Magic,Utah Jazz,63.2%,Auto,PERDU,Orlando Magic,Orlando Magic,GAGNE
2025-12-20,Sacramento Kings,Portland Trail Blazers,Sacramento Kings,64.7%,Auto,PERDU,Portland Trail Blazers,Sacramento Kings,PERDU
2025-12-20,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,52.9%,Auto,GAGNE,Los Angeles Clippers,Los Angeles Lakers,PERDU
2025-12-21,Atlanta Hawks,Chicago Bulls,Atlanta Hawks,59.6%,Auto,,,Atlanta Hawks,
2025-12-21,Brooklyn Nets,Toronto Raptors,Brooklyn Nets,76.0%,Auto,,,Toronto Raptors,
2025-12-21,New York Knicks,Miami Heat,New York Knicks,81.0%,Auto,,,New York Knicks,
2025-12-21,Washington Wizards,San Antonio Spurs,San Antonio Spurs,58.9%,Auto,,,San Antonio Spurs,
2025-12-21,Minnesota Timberwolves,Milwaukee Bucks,Minnesota Timberwolves,57.1%,Auto,,,Minnesota Timberwolves,
2025-12-21,Sacramento Kings,Houston Rockets,Sacramento Kings,53.2%,Auto,,,Houston Rockets,
2025-12-22,Cleveland Cavaliers,Charlotte Hornets,Charlotte Hornets,51.2%,Auto,,,Cleveland Cavaliers,
2025-12-22,Boston Celtics,Indiana Pacers,Boston Celtics,68.2%,Auto,,,Boston Celtics,
2025-12-22,New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans,55.3%,Auto,,,Dallas Mavericks,
2025-12-22,Denver Nuggets,Utah Jazz,Denver Nuggets,71.4%,Auto,,,Denver Nuggets,
2025-12-22,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,66.0%,Auto,,,Oklahoma City Thunder,
2025-12-22,Golden State Warriors,Orlando Magic,Golden State Warriors,62.4%,Auto,,,Golden State Warriors,
2025-12-22,Portland Trail Blazers,Detroit Pistons,Detroit Pistons,68.2%,Auto,,,Detroit Pistons,
